DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,% CHG,CHANGE
1/4/2000,15.125,15.5,14.595,14.625,3.15m,1.07%,0.16
1/5/2000,14.53,14.69,14,14.655,2.87m,0.21%,0.03
1/6/2000,15.5,16,15.25,16,5.74m,9.18%,1.35
1/7/2000,15.405,16.405,15.375,16.25,4.27m,1.56%,0.25
1/10/2000,16.75,17.75,16.69,17.5,6.46m,7.69%,1.25
1/11/2000,17.5,17.97,16.97,17.03,3.34m,-2.69%,-0.47
1/12/2000,17,18.375,16.815,18.125,4.41m,6.43%,1.1
1/13/2000,18.375,18.875,17.565,18.875,3.77m,4.14%,0.75
1/14/2000,18.565,20.28,18.5,20.19,7.50m,6.97%,1.32
1/17/2000,,,,20.19,,0.00%,
1/18/2000,20,20.625,19.345,19.5,5.44m,-3.42%,-0.69
1/19/2000,19.875,21.5,19.405,19.595,4.46m,0.49%,0.1
1/20/2000,21.75,22.565,19,19.5,14.42m,-0.48%,-0.09
1/21/2000,19.565,19.565,18.065,18.94,5.86m,-2.87%,-0.56
1/24/2000,18.625,19.22,16.905,17.25,5.13m,-8.92%,-1.69
1/25/2000,17.28,20.25,17.25,20,5.40m,15.94%,2.75
1/26/2000,18.815,19.125,18.28,18.5,3.80m,-7.50%,-1.5
1/27/2000,19,19.5,18.44,18.47,3.08m,-0.16%,-0.03
1/28/2000,18.595,18.875,17.19,17.625,3.43m,-4.57%,-0.84
1/31/2000,17.625,18.125,17.22,18,2.14m,2.13%,0.38
2/1/2000,18.25,18.375,17.5,18.28,2.56m,1.56%,0.28
2/2/2000,18.155,18.25,17.78,18.03,2.04m,-1.37%,-0.25
2/3/2000,18.375,19.69,18.155,19.5,4.76m,8.15%,1.47
2/4/2000,19.28,20.065,19.19,19.28,3.55m,-1.13%,-0.22
2/7/2000,19.28,20.655,19.065,20.655,3.03m,7.13%,1.38
2/8/2000,20.5,21,19.595,20.69,4.29m,0.17%,0.04
2/9/2000,20.69,21.19,20.25,21.03,3.91m,1.64%,0.34
2/10/2000,21.03,21.375,20.655,21.25,3.19m,1.05%,0.22
2/11/2000,21.375,22.75,20.905,22.75,7.47m,7.06%,1.5
2/14/2000,22.405,22.75,21.065,21.625,4.37m,-4.94%,-1.12
2/15/2000,21.75,22.375,21.19,21.75,4.34m,0.58%,0.13
2/16/2000,21.875,22.595,21.69,21.875,3.79m,0.58%,0.13
2/17/2000,22.095,22.095,21.065,21.5,2.72m,-1.71%,-0.37
2/18/2000,21.19,21.815,20,21.5,3.23m,0.00%,0
2/21/2000,,,,21.5,,0.00%,
2/22/2000,20.125,21.22,19.815,20.905,2.71m,-2.77%,-0.59
2/23/2000,20.845,20.97,20.53,20.53,1.47m,-1.79%,-0.37
2/24/2000,20.75,21.47,20.345,21.28,2.05m,3.65%,0.75
2/25/2000,20.78,21.19,19.625,20.25,5.46m,-4.84%,-1.03
2/28/2000,20.155,20.155,18.815,18.875,4.42m,-6.79%,-1.37
2/29/2000,19.69,20.125,19.5,19.75,4.15m,4.64%,0.88
3/1/2000,19.94,20.69,19.845,20.25,3.28m,2.53%,0.5
3/2/2000,20.22,20.22,19.25,19.625,2.27m,-3.09%,-0.62
3/3/2000,19.875,21,19.875,20.75,3.46m,5.73%,1.13
3/6/2000,23,24.5,23,23.75,11.23m,14.46%,3
3/7/2000,24.72,29.5,24.5,27.5,12.86m,15.79%,3.75
3/8/2000,27.75,27.75,24,26.75,6.73m,-2.73%,-0.75
3/9/2000,26.345,30,25.25,29.065,6.71m,8.65%,2.32
3/10/2000,26.565,27.125,25,26,8.43m,-10.54%,-3.06
3/13/2000,24.155,26.625,24.125,25.75,3.87m,-0.96%,-0.25
3/14/2000,26,26.875,24,24,2.97m,-6.80%,-1.75
3/15/2000,24.5,25.22,23.75,24.625,4.19m,2.60%,0.63
3/16/2000,24.815,25,23.155,24.595,3.21m,-0.12%,-0.03
3/17/2000,24.405,25.345,24.065,25,2.64m,1.65%,0.41
3/20/2000,25.47,27.065,25.375,26.875,3.68m,7.50%,1.88
3/21/2000,27.065,27.875,26.315,27.405,4.72m,1.97%,0.53
3/22/2000,27.75,29.44,27.625,28.75,4.79m,4.91%,1.35
3/23/2000,28.28,29,26.25,27.69,2.84m,-3.69%,-1.06
3/24/2000,,,,27.69,,0.00%,
3/27/2000,27,27.97,26.905,27.095,2.23m,-2.15%,-0.59
3/28/2000,27.125,28.44,26.75,27.565,2.66m,1.74%,0.47
3/29/2000,28,28.125,25.94,27.375,3.83m,-0.69%,-0.19
3/30/2000,26.44,30,26.375,30,7.82m,9.59%,2.63
3/31/2000,29.875,30.19,28.25,29.5,5.11m,-1.67%,-0.5
4/3/2000,29.625,30.94,29,30.44,4.74m,3.19%,0.94
4/4/2000,30.625,32.25,25.5,30.565,8.84m,0.41%,0.13
4/5/2000,32,34.53,30.905,34.19,10.15m,11.86%,3.63
4/6/2000,36.375,37.125,31.375,35.5,9.10m,3.83%,1.31
4/7/2000,35.44,37.75,35,37.75,7.61m,6.34%,2.25
4/10/2000,38.375,39.595,36.125,37.125,8.25m,-1.66%,-0.62
4/11/2000,35.78,35.875,33.53,35.315,8.51m,-4.87%,-1.81
4/12/2000,,,,35.315,,0.00%,
4/13/2000,38.595,38.69,35.065,35.5,15.01m,0.52%,0.19
4/14/2000,34.875,35.75,32.125,33,7.18m,-7.04%,-2.5
4/17/2000,32.625,37,32.595,36.315,6.55m,10.05%,3.32
4/18/2000,36.44,39.625,35.75,39.5,8.27m,8.77%,3.19
4/19/2000,39.345,39.47,37.22,37.625,4.95m,-4.75%,-1.87
4/20/2000,37.69,39.47,37.5,39.125,3.75m,3.99%,1.5
4/21/2000,,,,39.125,,0.00%,
4/24/2000,38.625,40.815,38.095,40.5,6.33m,3.51%,1.38
4/25/2000,41,44,40.875,43.75,6.36m,8.03%,3.25
4/26/2000,42.595,43.69,40.94,41.125,7.01m,-6.00%,-2.62
4/27/2000,40.25,43.625,40.125,42.625,7.10m,3.65%,1.5
4/28/2000,43,44.44,40.815,43.75,7.94m,2.64%,1.13
5/1/2000,43.5,46,43.47,44.19,6.06m,1.01%,0.44
5/2/2000,44.065,46.19,43.905,44.75,6.14m,1.27%,0.56
5/3/2000,44.75,45.25,42.03,43.875,4.80m,-1.95%,-0.87
5/4/2000,44,45.565,43,45,3.95m,2.56%,1.13
5/5/2000,45.03,46.44,45.03,46,3.96m,2.22%,1
5/8/2000,45,45.5,44.095,44.375,3.28m,-3.53%,-1.62
5/9/2000,44,44.75,40.69,41.75,4.75m,-5.91%,-2.62
5/10/2000,40.25,41,38.5,39.97,6.93m,-4.26%,-1.78
5/11/2000,40.625,43.875,39.75,43.875,5.16m,9.77%,3.91
5/12/2000,43.53,44.875,42.25,42.845,3.73m,-2.35%,-1.03
5/15/2000,42.625,43,41.53,42.75,2.80m,-0.22%,-0.09
5/16/2000,43.44,44.78,42.875,44.25,4.05m,3.51%,1.5
5/17/2000,43.94,44.595,42.5,42.5,4.65m,-3.95%,-1.75
5/18/2000,43,43.565,42.375,43.25,2.70m,1.77%,0.75
5/19/2000,42.625,42.875,41.655,41.905,3.25m,-3.11%,-1.34
