DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,% CHG,CHANGE
1/4/2000,0.958333,0.960938,0.901042,0.949219,30048000,-2.670159752,-0.026041
1/5/2000,0.921875,0.9375,0.904948,0.917969,18835200,-3.292180203,-0.03125
1/6/2000,0.917969,0.917969,0.822917,0.858073,12048000,-6.524839074,-0.059896
1/7/2000,0.854167,0.88151,0.841146,0.872396,7118400,1.669205301,0.014323
1/10/2000,0.875,0.9375,0.859375,0.901042,23985600,3.283600567,0.028646
1/11/2000,0.895833,0.90625,0.864583,0.864583,14812800,-4.046315266,-0.036459
1/12/2000,0.864583,0.865885,0.830729,0.842448,12355200,-2.560193758,-0.022135
1/13/2000,0.841146,0.885417,0.830729,0.877604,13219200,4.173076558,0.035156
1/14/2000,0.890625,0.951823,0.888021,0.915365,60456000,4.302737909,0.037761
1/18/2000,0.927083,0.958333,0.885417,0.954427,26164800,4.267368755,0.039062
1/19/2000,0.958333,0.958333,0.9375,0.945313,16468800,-0.954918501,-0.009114
1/20/2000,0.953125,1.005208,0.934896,0.942708,17956800,-0.275570102,-0.002605
1/21/2000,0.940104,0.94401,0.908854,0.932292,54427200,-1.104902048,-0.010416
1/24/2000,0.96224,0.96224,0.885417,0.890625,25694400,-4.469307899,-0.041667
1/25/2000,0.894531,0.903646,0.854167,0.882813,23712000,-0.877136842,-0.007812
1/26/2000,0.882813,0.90625,0.830729,0.846354,23246400,-4.129866688,-0.036459
1/27/2000,0.852865,0.852865,0.770833,0.802083,45820800,-5.230789953,-0.044271
1/28/2000,0.791667,0.796875,0.747396,0.778646,19444800,-2.922016799,-0.023437
1/31/2000,0.782552,0.799479,0.729167,0.772135,18240000,-0.836195139,-0.006511
2/1/2000,0.773438,0.796875,0.744792,0.790365,9297600,2.360986097,0.01823
2/2/2000,0.794271,0.828125,0.790365,0.8125,14904000,2.800604784,0.022135
2/3/2000,0.838542,0.855469,0.820313,0.825521,10824000,1.602584615,0.013021
2/4/2000,0.851563,0.851563,0.828125,0.845052,12369600,2.365899838,0.019531
2/7/2000,0.848958,0.848958,0.791667,0.792969,21748800,-6.16328936,-0.052083
2/8/2000,0.8125,0.859375,0.791667,0.830729,46881600,4.761850715,0.03776
2/9/2000,0.861979,0.876302,0.85026,0.851563,58905600,2.507917745,0.020834
2/10/2000,0.903646,1.041667,0.903646,1.026042,97008000,20.48926503,0.174479
2/11/2000,1.076823,1.078125,0.966146,1.041667,42379200,1.522842145,0.015625
2/14/2000,1.044271,1.208333,1.033854,1.208333,65011200,15.99993088,0.166666
2/15/2000,1.210938,1.21224,1.111979,1.161458,45048000,-3.879311415,-0.046875
2/16/2000,1.174479,1.255208,1.161458,1.214844,101956800,4.596464099,0.053386
2/17/2000,1.213542,1.265625,1.195313,1.257813,53577600,3.536997343,0.042969
2/18/2000,1.239583,1.421875,1.230469,1.403646,96086400,11.59417179,0.145833
2/22/2000,1.359375,1.377604,1.3125,1.364583,54249600,-2.782966645,-0.039063
2/23/2000,1.348958,1.386719,1.332031,1.372396,51139200,0.572555865,0.007813
2/24/2000,1.380208,1.389323,1.302083,1.359375,24432000,-0.948778632,-0.013021
2/25/2000,1.360677,1.360677,1.21875,1.27474,27873600,-6.226022989,-0.084635
2/28/2000,1.268229,1.28125,1.244792,1.265625,51787200,-0.715047774,-0.009115
2/29/2000,1.257813,1.348958,1.257813,1.333333,30604800,5.349767901,0.067708
3/1/2000,1.333333,1.333333,1.273438,1.294271,38356800,-2.929650732,-0.039062
3/2/2000,1.304688,1.304688,1.203125,1.207031,19104000,-6.740473981,-0.08724
3/3/2000,1.208333,1.239583,1.197917,1.226563,27369600,1.618185448,0.019532
3/6/2000,1.234375,1.328125,1.208333,1.21875,43209600,-0.63698318,-0.007813
3/7/2000,1.5625,1.817708,1.494792,1.735677,195220800,42.41452308,0.516927
3/8/2000,1.734701,1.765625,1.609375,1.75,66873600,0.825211142,0.014323
3/9/2000,1.770833,2.25,1.765625,2.089518,95294400,19.40102857,0.339518
3/10/2000,2.197917,3.020833,2.182292,2.458333,216120000,17.65072136,0.368815
3/13/2000,2.229167,3.125,2.208333,3.109375,241516800,26.483068,0.651042
3/14/2000,3.092448,3.092448,2.25,2.294271,156777600,-26.2144,-0.815104
3/15/2000,2.458659,2.522135,2.125,2.200521,99561600,-4.08626531,-0.09375
3/16/2000,2.270833,2.348958,1.929688,1.961914,75038400,-10.84320486,-0.238607
3/17/2000,1.916667,2.229167,1.916341,2.080729,55761600,6.056075852,0.118815
3/20/2000,2.16276,2.231771,2.013021,2.079427,36528000,-0.062574223,-0.001302
3/21/2000,2.083333,2.101563,1.8125,1.976563,53664000,-4.946747349,-0.102864
3/22/2000,1.992188,2.052083,1.958333,1.990885,23059200,0.724591121,0.014322
3/23/2000,1.972656,2.135417,1.96875,2.026042,30940800,1.765898081,0.035157
3/24/2000,2.013021,2.104167,1.875,1.941406,23160000,-4.177405997,-0.084636
3/27/2000,1.9375,2,1.796875,1.813802,38894400,-6.572762215,-0.127604
3/28/2000,1.751302,1.770833,1.645833,1.678385,39331200,-7.465919654,-0.135417
3/29/2000,1.684896,1.723958,1.5,1.567708,46944000,-6.594255788,-0.110677
3/30/2000,1.520833,1.703125,1.46875,1.558594,36192000,-0.581358263,-0.009114
3/31/2000,1.665039,1.830729,1.635417,1.760091,96297600,12.92812625,0.201497
4/3/2000,1.744141,1.75,1.576823,1.622396,32995200,-7.823175052,-0.137695
4/4/2000,1.708333,1.736979,1.1875,1.5625,51379200,-3.691823698,-0.059896
4/5/2000,1.578125,2.03125,1.497396,1.910156,63960000,22.249984,0.347656
4/6/2000,1.998698,2.10026,1.903646,1.998698,40459200,4.635328214,0.088542
4/7/2000,2.098958,2.1875,2.010417,2.136719,31857600,6.90554551,0.138021
4/10/2000,2.173177,2.299479,1.907552,1.947917,39528000,-8.83607063,-0.188802
4/11/2000,1.812174,1.979167,1.666667,1.832031,45758400,-5.949226789,-0.115886
4/12/2000,1.834635,1.875,1.635417,1.641927,31344000,-10.37668031,-0.190104
